MU-NEUTRALITY VERIFICATION (Theorem 2).  na=500, Gg=0.01818, D0=0.06
r^ss = (1+i^ss)/(1+mu)-1; calibrated r^ss=0.0196 (i^ss=0.040, mu=0.020)

SCAN A  (i^ss=0.040 fixed; r^ss varies with mu)
   mu     r^ss      P*        S        D        W
 0.000  +0.0400  NaN  NaN  NaN  NaN
 0.010  +0.0297  0.5693  1.7555  0.0409  -4.5957
 0.020  +0.0196  0.8548  1.1692  0.0465  -4.2452
 0.030  +0.0097  1.2002  0.8328  0.0500  -4.1114
 0.040  +0.0000  1.6212  0.6163  0.0524  -4.0648
 0.050  -0.0095  0.1214  0.5636  0.0099  -4.9800
 0.060  -0.0189  2.7701  0.3606  0.0555  -4.0750
 0.070  -0.0280  NaN  NaN  NaN  NaN
 0.080  -0.0370  NaN  NaN  NaN  NaN
 0.090  -0.0459  NaN  NaN  NaN  NaN
 0.100  -0.0545  NaN  NaN  NaN  NaN

SCAN B  (r^ss=0.0196 fixed; i^ss compensates mu)
   mu    i^ss(mu)   P*        S        D        W
 0.000  +0.0196  0.8548  1.1692  0.0465  -4.2452
 0.010  +0.0298  0.8548  1.1692  0.0465  -4.2452
 0.020  +0.0400  0.8548  1.1692  0.0465  -4.2452
 0.030  +0.0502  0.8548  1.1692  0.0465  -4.2452
 0.040  +0.0604  0.8548  1.1692  0.0465  -4.2452
 0.050  +0.0706  0.8548  1.1692  0.0465  -4.2452
 0.060  +0.0808  0.8548  1.1692  0.0465  -4.2452
 0.070  +0.0910  0.8548  1.1692  0.0465  -4.2452
 0.080  +0.1012  0.8548  1.1692  0.0465  -4.2452
 0.090  +0.1114  0.8548  1.1692  0.0465  -4.2452
 0.100  +0.1216  0.8548  1.1692  0.0465  -4.2452

SCAN B invariance:  P* spread=0.000e+00  W spread=0.000e+00  (=> mu-neutral)
